Banana,-0.0894,0.3348,0,-0.1854,-0.041,,
Boomerang,0.301,-0.2733,0,0.2438,0.2728,,
Fat banana,-0.0582,0.5203,0,-1.1123,0.2751,,
Horse hoof,0.5777,-1.5031,0,2.4859,2.0643,,
Sausage with wart,-0.5546,1.2016,-1.7046,0,0.7516,-0.4501,
Boogie board,0.1868,0.6536,0.9138,0,0.5272,0.3688,
Touching drops,-1.827,1.8913,-4.7226,0,-2.4567,0.5207,
Protuberance,0.1914,0.261,0.7415,0,0.0139,-0.0376,
One armed cactus,0.8122,-0.4139,1.4216,0,0.0188,0.81,-0.0882
Fat and skinny,0.0770+0.9641j,-2.9545+1.2625j,0,1.5749+4.4332j,1.7215-0.7337j,,
Tick,-0.4677-2.2469j,-1.6309+1.6129j,0,1.9573+0.3075j,0.9373-1.0827j,,
Bean,1.3518+0.7881j,-0.5165-2.1212j,0,-1.0495+0.2686j,-0.3319-0.5298j,,
Bean 2,-3.2613-0.5156j,-2.0816+7.4543j,0,-3.6075+1.0955j,-0.3114+0.5876j,,
Perfect bean,-0.0793+0.2346j,1.4338+0.1133j,0,3.9308-0.4594j,0.7807+1.4872j,,
Kiwi,-0.5568-0.1738j,1.3996-1.4992j,1.8713+1.4581j,0,1.2237-1.5280j,-0.3935-0.3052j,
Protuberance 2,-0.1623+0.7543j,0.1673+0.7969j,1.1205+2.4705j,0,0.1498-0.1459j,-0.3358-0.7153j,
Mickey Mouse ears,-0.4013+2.0644j,2.5080+3.8396j,5.9534+1.5419j,0,-0.8124+1.4994j,-0.0929-0.2339j,
Painter palette,-2.0598+1.0369j,6.7033+0.9926j,-5.6405-3.7968j,0,-1.8678-1.1125j,-0.4005+1.9138j,0.1635+0.5016j
Touching drops 2,-0.0964+0.8052j,2.8948-1.8165j,-2.0569-2.0558j,0,-0.7227-7.4667j,2.2173+0.9430j,0.7011-3.5266j
Ellipse,-2,0,1,,,,
Unit circle,0,0,1,,,,
